         city_name         | state_name |                      airline_name                       | passengers 
---------------------------+------------+---------------------------------------------------------+------------
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |       2211
 Colorado Springs, CO      | Colorado   | SkyWest Airlines Inc.                                   |        125
 Denver, CO                | Colorado   | Alaska Airlines Inc.                                    |       3939
 Denver, CO                | Colorado   | Frontier Airlines Inc.                                  |       5830
 Denver, CO                | Colorado   | Republic Airlines                                       |        137
 Denver, CO                | Colorado   | SkyWest Airlines Inc.                                   |        124
 Denver, CO                | Colorado   | Delta Air Lines Inc.                                    |         62
 Denver, CO                | Colorado   | Republic Airlines                                       |        213
 Denver, CO                | Colorado   | Southwest Airlines Co.                                  |        633
 Denver, CO                | Colorado   | Boutique Air                                            |        176
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |       1836
 Colorado Springs, CO      | Colorado   | SkyWest Airlines Inc.                                   |         46
 Denver, CO                | Colorado   | Trans States Airlines                                   |       1155
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |       3890
 Colorado Springs, CO      | Colorado   | Frontier Airlines Inc.                                  |       4166
 Denver, CO                | Colorado   | Southwest Airlines Co.                                  |       5118
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |       2401
 Aspen, CO                 | Colorado   | Avjet Corporation                                       |          3
 Denver, CO                | Colorado   | Frontier Airlines Inc.                                  |       6608
 Colorado Springs, CO      | Colorado   | Frontier Airlines Inc.                                  |       1388
 Denver, CO                | Colorado   | Delta Air Lines Inc.                                    |       5660
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |       1747
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |       1903
 Fort Collins/Loveland, CO | Colorado   | Sun Country Airlines d/b/a MN Airlines                  |        149
 Denver, CO                | Colorado   | Delta Air Lines Inc.                                    |        356
 Denver, CO                | Colorado   | Spirit Air Lines                                        |       3682
 Denver, CO                | Colorado   | Southwest Airlines Co.                                  |        160
 Denver, CO                | Colorado   | SkyWest Airlines Inc.                                   |         45
 Denver, CO                | Colorado   | SkyWest Airlines Inc.                                   |       2215
 Denver, CO                | Colorado   | SkyWest Airlines Inc.                                   |         70
 Colorado Springs, CO      | Colorado   | ExpressJet Airlines Inc.                                |         47
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |       1878
 Denver, CO                | Colorado   | SkyWest Airlines Inc.                                   |       1058
 Grand Junction, CO        | Colorado   | SkyWest Airlines Inc.                                   |        486
 Aspen, CO                 | Colorado   | SkyWest Airlines Inc.                                   |       1369
 Denver, CO                | Colorado   | Southwest Airlines Co.                                  |        142
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |       2231
 Denver, CO                | Colorado   | Trans States Airlines                                   |        371
 Eagle, CO                 | Colorado   | GoJet Airlines LLC d/b/a United Express                 |       1074
 Denver, CO                | Colorado   | Frontier Airlines Inc.                                  |       4238
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |        813
 Denver, CO                | Colorado   | Delta Air Lines Inc.                                    |       1341
 Denver, CO                | Colorado   | Great Lakes Airlines                                    |        236
 Denver, CO                | Colorado   | JetBlue Airways                                         |       5404
 Denver, CO                | Colorado   | SkyWest Airlines Inc.                                   |        364
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |       7491
 Denver, CO                | Colorado   | Jet Aviation Flight Services, Inc.                      |          1
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |       2703
 Colorado Springs, CO      | Colorado   | Republic Airlines                                       |       2188
 Denver, CO                | Colorado   | Delta Air Lines Inc.                                    |        110
 Denver, CO                | Colorado   | SkyWest Airlines Inc.                                   |        206
 Denver, CO                | Colorado   | GoJet Airlines LLC d/b/a United Express                 |       1219
 Denver, CO                | Colorado   | GoJet Airlines LLC d/b/a United Express                 |       6129
 Denver, CO                | Colorado   | Frontier Airlines Inc.                                  |       4884
 Denver, CO                | Colorado   | Trans States Airlines                                   |       1038
 Denver, CO                | Colorado   | Delta Air Lines Inc.                                    |        129
 Durango, CO               | Colorado   | SkyWest Airlines Inc.                                   |        164
 Denver, CO                | Colorado   | Republic Airlines                                       |       1289
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |       1772
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |       6807
